iter	RMSE
0	160037.3245
1	155154.3221
2	149905.6119
3	144858.3887
4	140542.966
5	136112.3561
6	131901.9729
7	128087.6588
8	124334.641
9	120791.9188
10	117228.9204
11	113949.3633
12	111200.9124
13	108248.2861
14	105204.3229
15	102484.684
16	100277.5488
17	97882.26471
18	95534.94033
19	93485.59696
20	91427.92055
21	89478.75621
22	87686.9563
23	86091.44363
24	84586.84577
25	83198.47872
26	81875.28495
27	80458.90298
28	79233.20482
29	77992.35507
30	76821.12737
31	75991.93819
32	75135.82548
33	74252.76184
34	73396.04676
35	72590.88806
36	71880.29046
37	71155.22611
38	70491.45429
39	69781.16121
40	69115.7919
41	68649.88042
42	68115.57419
43	67531.10297
44	67128.52635
45	66706.78891
46	66277.41893
47	65866.28863
48	65452.1583
49	65061.77189
50	64722.03429
51	64420.47003
52	64149.16292
53	63893.88095
54	63660.2117
55	63355.65027
56	63099.66757
57	62905.53138
58	62655.84765
59	62456.82508
60	62240.72849
61	62090.68552
62	61991.37091
63	61840.02581
64	61633.02847
65	61476.45313
66	61298.22586
67	61159.00855
68	61045.27775
69	60950.35982
70	60790.59585
71	60672.02188
72	60560.38516
73	60378.66993
74	60273.64763
75	60168.04226
76	60066.92956
77	59978.73308
78	59873.63542
79	59801.49031
80	59683.5404
81	59589.87141
82	59521.57037
83	59427.6357
84	59305.23466
85	59253.97286
86	59123.57768
87	58981.36229
88	58913.95412
89	58849.99534
90	58772.61989
91	58675.43533
92	58595.90116
93	58513.89405
94	58455.58589
95	58382.04283
96	58299.6714
97	58222.96159
98	58160.81586
99	58081.85887
