iter	Passed	Remaining
0	0	82
1	1	73
2	2	69
3	2	66
4	3	64
5	3	62
6	4	60
7	5	60
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	55
14	9	54
15	10	54
16	11	54
17	11	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	50
23	15	49
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	44
30	19	44
31	20	44
32	21	44
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	32	31
51	33	31
52	34	30
53	34	29
54	35	28
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
